City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,stanley,54.868,-1.6985,287.75,97,75,2.57,GB,2024-09-01
79,gaspe,48.8334,-64.4819,296.27,73,40,7.72,CA,2024-09-01
80,lom sak,16.7798,101.2422,297.06,94,100,0.92,TH,2024-09-01
81,nizhnyaya omka,55.4338,74.9426,281.01,65,100,3.49,RU,2024-09-01
82,nyrob,60.733,56.7202,284.52,91,93,2.73,RU,2024-09-01
83,brookings,44.3114,-96.7984,295.47,50,75,3.6,US,2024-09-01
84,afaahiti,-17.75,-149.2833,295.71,75,98,13.44,PF,2024-09-01
85,mount pearl,47.5166,-52.7813,293.33,80,75,4.63,CA,2024-09-01
86,ust-nera,64.5667,143.2,279.69,97,100,4.26,RU,2024-09-01
87,ola,59.5833,151.2833,284.25,91,100,13.34,RU,2024-09-01
88,naxos,37.1056,25.3764,299.99,68,4,5.81,GR,2024-09-01
89,west island,-12.1568,96.8225,299.14,78,40,3.6,CC,2024-09-01
90,hrazdan,40.4975,44.7662,286.99,56,0,4.02,AM,2024-09-01
91,port lincoln,-34.7333,135.8667,284.57,50,9,10.23,AU,2024-09-01
92,chemolgan,43.1897,76.5292,287.36,57,14,0.79,KZ,2024-09-01
93,paka,4.6374,103.4368,298.11,94,100,0.0,MY,2024-09-01
94,vilyuchinsk,52.9306,158.4028,285.3,88,38,3.3,RU,2024-09-01
95,ilulissat,69.2167,-51.1,277.16,75,75,1.54,GL,2024-09-01
96,la ronge,55.1001,-105.2842,298.29,33,20,4.63,CA,2024-09-01
97,newman,37.3138,-121.0208,309.82,18,0,0.43,US,2024-09-01
98,coquimbo,-29.9533,-71.3436,289.0,70,40,5.66,CL,2024-09-01
99,palasa,18.7667,84.4167,298.78,92,100,1.74,IN,2024-09-01
100,harrison,30.4091,-89.0436,303.21,70,0,3.6,US,2024-09-01
101,papatowai,-46.5619,169.4708,283.64,87,26,4.76,NZ,2024-09-01
102,yaren,-0.5472,166.916,301.59,76,89,8.52,NR,2024-09-01
103,karatau,43.1667,70.4667,289.07,33,0,3.99,KZ,2024-09-01
104,quellon,-43.1167,-73.6167,282.66,94,100,10.54,CL,2024-09-01
105,bilibino,68.0546,166.4372,281.34,80,100,1.18,RU,2024-09-01
106,martuk,50.7475,56.5056,289.37,51,3,3.64,KZ,2024-09-01
107,vallegrande,-18.4897,-64.1069,294.17,40,80,5.48,BO,2024-09-01
108,ormara,25.2088,64.6357,300.33,91,0,3.03,PK,2024-09-01
